shipment_id,ship_date,origin_warehouse,destination_region,mode_of_transport,distance_km,shipment_volume_units,delivery_time_days,promised_time_days,on_time_delivery,transportation_cost_inr,customer_rating,cost_per_km,delay_days,ship_month
SHP00001,2026-03-13,WH-3,South,Sea,252.8,26,1.02,10,True,2896.19,4.9,11.46,0.0,2026-03
SHP00002,2026-05-10,WH-6,Central,Sea,455.8,14,1.97,10,True,4765.56,3.5,10.46,0.0,2026-05
SHP00003,2026-06-24,WH-6,South,Road,1653.6,28,8.66,4,False,79597.8,2.9,48.14,4.66,2026-06
SHP00004,2026-06-21,WH-4,South,Road,637.6,39,2.0,4,True,23944.01,4.5,37.55,0.0,2026-06
SHP00005,2026-02-09,WH-4,Central,Road,1172.2,25,3.43,4,True,61427.67,3.8,52.4,0.0,2026-02
SHP00006,2026-03-29,WH-1,North,Road,269.4,33,1.61,4,True,10681.58,4.8,39.65,0.0,2026-03
SHP00007,2026-02-17,WH-1,Central,Road,775.6,53,2.56,4,True,39133.22,4.6,50.46,0.0,2026-02
SHP00008,2026-04-13,WH-6,Central,Air,615.3,12,0.89,2,True,106767.87,5.0,173.52,0.0,2026-04
SHP00009,2026-05-23,WH-5,West,Road,275.5,11,1.75,4,True,11365.08,4.6,41.25,0.0,2026-05
SHP00010,2026-05-08,WH-3,North,Sea,815.6,16,3.38,10,True,8414.0,2.8,10.32,0.0,2026-05
SHP00011,2026-06-01,WH-4,South,Road,832.9,24,2.78,4,True,27705.31,3.2,33.26,0.0,2026-06
SHP00012,2026-01-02,WH-1,South,Road,640.7,17,1.85,4,True,29114.41,4.9,45.44,0.0,2026-01
SHP00013,2026-01-24,WH-6,West,Road,243.3,19,1.58,4,True,10959.64,5.0,45.05,0.0,2026-01
SHP00014,2026-05-27,WH-4,Central,Road,692.8,13,1.93,4,True,34306.9,5.0,49.52,0.0,2026-05
SHP00015,2026-05-31,WH-2,West,Air,685.2,9,0.67,2,True,124462.49,4.4,181.64,0.0,2026-05
SHP00016,2026-04-09,WH-1,Central,Road,923.7,22,2.72,4,True,40998.77,4.9,44.39,0.0,2026-04
SHP00017,2026-04-03,WH-1,South,Sea,1936.1,18,5.8,10,True,14097.65,4.4,7.28,0.0,2026-04
